date,open,high,low,close,amout,vol,str07
20220429,26.0,30.0,25.2,29.5,252630240.0,9435002,65536
20220505,27.5,28.13,26.8,27.66,165610176.0,6029335,65536
20220506,27.01,28.77,26.9,27.24,154420064.0,5569076,65536
20220509,26.71,28.33,26.59,28.21,114542664.0,4177224,65536
20220510,28.0,31.21,27.89,29.6,214020896.0,7182185,65536
20220511,30.0,31.93,29.21,30.95,231805520.0,7524089,65536
20220512,30.87,31.38,29.89,30.55,134331184.0,4393365,65536
20220513,30.67,30.98,28.18,28.21,165756320.0,5700714,65536
20220516,28.4,28.73,27.5,27.77,85484016.0,3044495,65536
20220517,27.81,27.89,26.81,27.45,73117872.0,2689939,65536
20220518,27.73,28.11,27.5,27.75,61980400.0,2233049,65536
20220519,27.55,28.3,27.41,28.16,74469008.0,2656864,65536
20220520,28.05,28.33,27.62,27.91,62630428.0,2241868,65536
20220523,27.8,28.68,27.8,28.31,57968608.0,2052014,65536
20220524,28.28,28.28,26.48,26.48,72697480.0,2663349,65536
20220525,26.7,27.05,26.55,27.0,29953668.0,1118718,65536
20220526,27.05,27.05,26.24,26.78,30640600.0,1151476,65536
20220527,26.84,27.08,26.48,26.75,31626228.0,1180182,65536
20220530,26.85,26.95,26.38,26.81,21354426.0,800705,65536
20220531,26.72,29.15,26.54,28.42,94038352.0,3343021,65536
20220601,28.47,30.29,28.26,30.28,140106432.0,4738225,65536
20220602,30.38,32.9,29.6,32.16,188474720.0,6034175,65536
20220606,32.75,34.56,32.0,32.9,203019552.0,6144471,65536
20220607,32.48,34.5,32.34,33.37,128091328.0,3859458,65536
20220608,33.78,33.78,31.3,31.92,95858840.0,2962418,65536
20220609,32.05,32.26,30.2,30.6,67734960.0,2174045,65536
20220610,30.79,31.3,30.42,30.88,56262856.0,1818122,65536
20220613,30.85,30.97,29.75,30.15,62425464.0,2065883,65536
20220614,29.88,29.88,28.7,29.47,59223504.0,2019793,65536
20220615,29.6,30.02,29.4,29.58,53115308.0,1786136,65536
20220616,29.71,30.55,29.38,30.19,54452484.0,1800284,65536
20220617,29.63,30.58,29.3,30.19,44153128.0,1471891,65536
20220620,30.0,31.15,30.0,30.86,48001688.0,1563571,65536
20220621,30.98,37.03,30.98,35.37,242263984.0,6961903,65536
20220622,34.28,35.29,32.8,32.88,165788416.0,4906380,65536
20220623,33.18,34.29,32.38,33.84,100995688.0,3030835,65536
20220624,33.9,39.44,33.89,37.74,205822624.0,5584746,65536
20220627,38.24,39.92,37.36,38.69,150416544.0,3893482,65536
20220628,38.17,39.43,37.03,38.7,101958864.0,2674592,65536
20220629,42.45,46.4,40.37,42.9,242508960.0,5495263,65536
20220630,43.97,51.48,43.07,51.48,365622720.0,7288869,65536
20220701,53.3,58.7,52.0,52.88,411357664.0,7580481,65536
20220704,52.12,52.62,46.77,48.11,299196352.0,6147331,65536
20220705,48.16,50.18,47.35,48.16,181925008.0,3741725,65536
20220706,48.93,52.0,47.62,50.3,227862400.0,4561401,65536
20220707,49.05,53.17,48.78,51.47,171437616.0,3350969,65536
20220708,50.96,57.03,50.91,53.62,195620960.0,3641348,65536
20220711,53.62,58.98,51.82,56.94,256690272.0,4654078,65536
20220712,56.02,56.02,49.82,50.33,220657760.0,4235379,65536
20220713,50.18,50.99,48.2,49.34,127470256.0,2577766,65536
20220714,49.33,51.55,48.83,49.99,104273712.0,2064504,65536
20220715,49.99,51.23,48.23,48.26,130724584.0,2647500,65536
20220718,49.31,49.5,47.32,48.24,87056728.0,1801718,65536
20220719,47.77,50.55,47.69,48.83,90568928.0,1849769,65536
20220720,49.97,50.4,46.06,47.4,137014752.0,2879190,65536
20220721,47.3,49.07,46.5,47.33,80761400.0,1684794,65536
20220722,47.28,48.33,46.03,46.84,78466240.0,1676056,65536
20220725,46.45,48.98,46.3,46.43,81364072.0,1711569,65536
20220726,46.03,47.11,44.12,46.56,63839236.0,1396247,65536
20220727,46.89,51.22,46.89,50.38,142749552.0,2926166,65536
20220728,50.4,53.33,50.02,50.32,142727920.0,2770408,65536
20220729,49.63,60.38,49.63,60.38,432250912.0,7518002,65536
20220801,59.0,62.3,57.52,61.0,261332848.0,4290358,65536
20220802,59.0,62.65,58.08,59.08,202310032.0,3350346,65536
20220803,60.24,65.13,59.87,61.2,250321440.0,3998908,65536
20220804,62.5,63.0,58.5,60.5,172775072.0,2853857,65536
20220805,61.2,61.9,58.81,59.8,116544472.0,1942186,65536
20220808,59.85,61.3,57.7,60.6,108849392.0,1816935,65536
20220809,60.73,60.73,57.58,59.98,100419344.0,1694769,65536
20220810,59.89,62.6,59.01,60.39,126104384.0,2073898,65536
20220811,60.52,63.38,58.5,58.55,141717024.0,2347886,65536
20220812,58.69,59.24,54.9,54.99,127434576.0,2235800,65536
20220815,55.0,58.76,54.62,58.01,105702096.0,1848957,65536
20220816,59.0,66.79,57.59,64.51,203879952.0,3194836,65536
